unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
5834-Pershing-Avenue-Saint-Louis;5834 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;194,407;--;1;1,786;Single Family;1913;Other;Wall;None;None;https://www.zillow.com/homedetails/5834-Pershing-Ave-Saint-Louis-MO-63112/3005868_zpid/;;;;;;;;
5838-Pershing-Avenue-Saint-Louis;5838 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;215,072;--;1;1,998;Single Family;1912;Other;None;None;None;https://www.zillow.com/homedetails/5838-Pershing-Ave-Saint-Louis-MO-63112/3005867_zpid/;;;;;;;;
5840-Pershing-Avenue-Saint-Louis;5840 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;242,670;4;2;1,820;Single Family;1918;Other;Central;None;None;https://www.zillow.com/homedetails/5840-Pershing-Ave-Saint-Louis-MO-63112/3005866_zpid/;;;;;;;;
