unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
5908-Pershing-Avenue-Saint-Louis;5908 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;207,651;--;1;1,973;Single Family;1914;Other;Wall;None;None;https://www.zillow.com/homedetails/5908-Pershing-Ave-Saint-Louis-MO-63112/3005858_zpid/;;;;;;;;
5912-Pershing-Avenue-Saint-Louis;5912 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;213,419;--;1;1,995;Single Family;1915;Other;Wall;None;None;https://www.zillow.com/homedetails/5912-Pershing-Ave-Saint-Louis-MO-63112/3005857_zpid/;;;;;;;;
5918-Pershing-Avenue-Saint-Louis;5918 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;245,322;3;2.5;1,872;Single Family;1916;Other;Central;None;None;https://www.zillow.com/homedetails/5918-Pershing-Ave-Saint-Louis-MO-63112/3005855_zpid/;;;;;;;;
5920-Pershing-Avenue-Saint-Louis;5920 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,556;--;1.5;2,028;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5920-Pershing-Ave-Saint-Louis-MO-63112/3005854_zpid/;1;07/15/97;Sold: Foreclosed to lender;68,352;0%;;False;False
5928-Pershing-Avenue-Saint-Louis;5928 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,725;3;2.5;1,768;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5928-Pershing-Ave-Saint-Louis-MO-63112/3005852_zpid/;1;02/01/16;Listing removed;1,600;0%;;True;False
5928-Pershing-Avenue-Saint-Louis;5928 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,725;3;2.5;1,768;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5928-Pershing-Ave-Saint-Louis-MO-63112/3005852_zpid/;2;01/25/16;Listed for rent;1,600;0%;;True;False
5928-Pershing-Avenue-Saint-Louis;5928 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,725;3;2.5;1,768;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5928-Pershing-Ave-Saint-Louis-MO-63112/3005852_zpid/;3;01/29/13;Listing removed;1,600;0%;;True;False
5928-Pershing-Avenue-Saint-Louis;5928 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,725;3;2.5;1,768;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5928-Pershing-Ave-Saint-Louis-MO-63112/3005852_zpid/;4;11/08/12;Listed for rent;1,600;0%;;True;False
5928-Pershing-Avenue-Saint-Louis;5928 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,725;3;2.5;1,768;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5928-Pershing-Ave-Saint-Louis-MO-63112/3005852_zpid/;5;05/15/12;Sold;48,001;0%;;False;False
5932-Pershing-Avenue-Saint-Louis;5932 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;284,838;4;2.5;1,924;Single Family;1911;Forced air;Central;None;None;https://www.zillow.com/homedetails/5932-Pershing-Ave-Saint-Louis-MO-63112/3005850_zpid/;1;11/11/14;Listing removed;259,900;0%;;False;True
5932-Pershing-Avenue-Saint-Louis;5932 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;284,838;4;2.5;1,924;Single Family;1911;Forced air;Central;None;None;https://www.zillow.com/homedetails/5932-Pershing-Ave-Saint-Louis-MO-63112/3005850_zpid/;2;11/09/14;Listed for sale;259,900;0%;;False;False
5936-Pershing-Avenue-Saint-Louis;5936 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;246,593;4;2;1,872;Single Family;1932;Other;Refrigeration;None;None;https://www.zillow.com/homedetails/5936-Pershing-Ave-Saint-Louis-MO-63112/3005849_zpid/;1;09/17/10;Listing removed;119,900;-7.1%;;False;True
5936-Pershing-Avenue-Saint-Louis;5936 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;246,593;4;2;1,872;Single Family;1932;Other;Refrigeration;None;None;https://www.zillow.com/homedetails/5936-Pershing-Ave-Saint-Louis-MO-63112/3005849_zpid/;2;06/18/10;Price change;129,000;+6.9%;;False;False
5936-Pershing-Avenue-Saint-Louis;5936 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;246,593;4;2;1,872;Single Family;1932;Other;Refrigeration;None;None;https://www.zillow.com/homedetails/5936-Pershing-Ave-Saint-Louis-MO-63112/3005849_zpid/;3;01/25/10;Sold: Foreclosed to lender;120,720;-47.3%;;False;False
5936-Pershing-Avenue-Saint-Louis;5936 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;246,593;4;2;1,872;Single Family;1932;Other;Refrigeration;None;None;https://www.zillow.com/homedetails/5936-Pershing-Ave-Saint-Louis-MO-63112/3005849_zpid/;4;06/12/08;Listing removed;229,000;0%;;False;False
5936-Pershing-Avenue-Saint-Louis;5936 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;246,593;4;2;1,872;Single Family;1932;Other;Refrigeration;None;None;https://www.zillow.com/homedetails/5936-Pershing-Ave-Saint-Louis-MO-63112/3005849_zpid/;5;01/12/08;Listed for sale;229,000;0%;;False;False
5938-Pershing-Avenue-Saint-Louis;5938 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,799;4;1.5;1,872;Single Family;1913;Forced air;Central;None;None;https://www.zillow.com/homedetails/5938-Pershing-Ave-Saint-Louis-MO-63112/3005848_zpid/;1;05/12/11;Listed for sale;--;0%;;False;False
5938-Pershing-Avenue-Saint-Louis;5938 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,799;4;1.5;1,872;Single Family;1913;Forced air;Central;None;None;https://www.zillow.com/homedetails/5938-Pershing-Ave-Saint-Louis-MO-63112/3005848_zpid/;2;09/10/10;Listing removed;195,000;0%;;False;False
5938-Pershing-Avenue-Saint-Louis;5938 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;243,799;4;1.5;1,872;Single Family;1913;Forced air;Central;None;None;https://www.zillow.com/homedetails/5938-Pershing-Ave-Saint-Louis-MO-63112/3005848_zpid/;3;08/25/10;Listed for sale;195,000;0%;;False;False
5940-Pershing-Avenue-Saint-Louis;5940 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;208,912;--;1;1,962;Single Family;1915;Other;Wall;None;None;https://www.zillow.com/homedetails/5940-Pershing-Ave-Saint-Louis-MO-63112/3005847_zpid/;;;;;;;;
-Saint-Louis;5944 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;None  ;3;2.5;1,768;Single Family;None;Forced air;Central;None;None;https://www.zillow.com/homedetails/5944-Pershing-Ave-Saint-Louis-MO-63112/69816365_zpid/;1;05/05/05;Sold;--;0%;;False;False
-Saint-Louis;5944 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;None  ;3;2.5;1,768;Single Family;None;Forced air;Central;None;None;https://www.zillow.com/homedetails/5944-Pershing-Ave-Saint-Louis-MO-63112/69816365_zpid/;2;10/16/02;Sold: Foreclosed to lender;81,375;0%;;False;False
5948-Pershing-Avenue-Saint-Louis;5948 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;211,993;--;1;1,872;Single Family;1911;Other;Central;None;None;https://www.zillow.com/homedetails/5948-Pershing-Ave-Saint-Louis-MO-63112/3005845_zpid/;;;;;;;;
5952-Pershing-Avenue-Saint-Louis;5952 Pershing Ave, Saint Louis, MO 63112;FOR RENT;0;None;4;2;1,312;Single Family;None;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5952-Pershing-Ave-Saint-Louis-MO-63112/3005843_zpid/;1;10/28/17;Listed for rent;2,500;0%;;True;False
5956-Pershing-Avenue-Saint-Louis;5956 Pershing Ave, Saint Louis, MO 63112;FOR RENT;0;None;4;2;1,312;Single Family;None;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5956-Pershing-Ave-Saint-Louis-MO-63112/3005842_zpid/;1;10/28/17;Listed for rent;2,500;0%;;True;False
5956-Pershing-Avenue-Saint-Louis;5956 Pershing Ave, Saint Louis, MO 63112;FOR RENT;0;None;4;2;1,312;Single Family;None;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5956-Pershing-Ave-Saint-Louis-MO-63112/3005842_zpid/;2;04/21/06;Sold: Foreclosed to lender;138,829;0%;;False;False
6002-Pershing-Avenue-Saint-Louis;6002 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;None  ;--;--;5,072;Single Family;1912;Other;Central;None;None;https://www.zillow.com/homedetails/6002-Pershing-Ave-Saint-Louis-MO-63112/87746180_zpid/;;;;;;;;
5914-Pershing-Avenue-Saint-Louis;5914 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;186,465;--;1;1,560;Single Family;1913;Other;Wall;Carport;None;https://www.zillow.com/homedetails/5914-Pershing-Ave-Saint-Louis-MO-63112/3005856_zpid/;;;;;;;;
5924-Pershing-Avenue-Saint-Louis;5924 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;268,849;3;2.5;1,926;Single Family;1912;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5924-Pershing-Ave-Saint-Louis-MO-63112/3005853_zpid/;1;05/01/17;Listing removed;2,300;0%;;True;False
5924-Pershing-Avenue-Saint-Louis;5924 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;268,849;3;2.5;1,926;Single Family;1912;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5924-Pershing-Ave-Saint-Louis-MO-63112/3005853_zpid/;2;04/04/17;Listed for rent;2,300;0%;;True;False
5924-Pershing-Avenue-Saint-Louis;5924 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;268,849;3;2.5;1,926;Single Family;1912;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5924-Pershing-Ave-Saint-Louis-MO-63112/3005853_zpid/;3;01/09/12;Sold: Foreclosed to lender;91,531;+144%;;False;False
5924-Pershing-Avenue-Saint-Louis;5924 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;268,849;3;2.5;1,926;Single Family;1912;Forced air;Central, Other;Off street, On street;None;https://www.zillow.com/homedetails/5924-Pershing-Ave-Saint-Louis-MO-63112/3005853_zpid/;4;01/05/12;Price change;37,500;-62.5%;;False;False
