Unique Property ID;Full Address;Sale Status;Amount;Zestimate;Beds;Baths;Type;Year Built; Heating;Cooling;Parking;MLS#;Flooring Square Footage;URL;EventID;Event;Date;Event;Price;Price Change;Agents;Rental;Listing Removed
;4;1 space;722-North-57th-Street-Omaha;725,361;0;Single Family;None;OFF MARKET;Other;2,858;722 N 57th St, Omaha, NE 68132;Central;https://www.zillow.com/homedetails/722-N-57th-St-Omaha-NE-68132/75864561_zpid/;1931;3.5;;;;;;;;
3;1 space;725-North-57th-Avenue-Omaha;326,602;0;Single Family;None;OFF MARKET;Other;1,820;725 N 57th Ave, Omaha, NE 68132;Central;https://www.zillow.com/homedetails/725-N-57th-Ave-Omaha-NE-68132/75864641_zpid/;1931;1.5;False;06/01/01;Sold;False;;0%;259,000;1
Central;722-North-57th-Street-Omaha;725,361;;https://www.zillow.com/homedetails/722-N-57th-St-Omaha-NE-68132/75864561_zpid/;1 space;3.5;0;Single Family;Other;722 N 57th St, Omaha, NE 68132;OFF MARKET;2,858;None;4;1931;;;;;;;;
Central;725-North-57th-Avenue-Omaha;326,602;https://www.zillow.com/homedetails/725-N-57th-Ave-Omaha-NE-68132/75864641_zpid/;1 space;1.5;0;Single Family;Other;725 N 57th Ave, Omaha, NE 68132;OFF MARKET;1,820;None;3;1931;1;;0%;Sold;False;False;259,000;06/01/01
4;1 space;https://www.zillow.com/homedetails/722-N-57th-St-Omaha-NE-68132/75864561_zpid/;Single Family;3.5;2,858;None;;722 N 57th St, Omaha, NE 68132;Other;0;727,160;1931;OFF MARKET;722-North-57th-Street-Omaha;Central;;;;;;;;
3;1 space;https://www.zillow.com/homedetails/725-N-57th-Ave-Omaha-NE-68132/75864641_zpid/;Single Family;1.5;1,820;None;725 N 57th Ave, Omaha, NE 68132;Other;0;326,098;1931;OFF MARKET;725-North-57th-Avenue-Omaha;Central;259,000;0%;False;1;;06/01/01;Sold;False
5;2 spaces;https://www.zillow.com/homedetails/716-N-57th-Ave-Omaha-NE-68132/75869584_zpid/;Single Family;3.5;3,085;None;;716 N 57th Ave, Omaha, NE 68132;Other;0;747,269;1929;OFF MARKET;716-North-57th-Avenue-Omaha;Central;;;;;;;;
4;1 space;https://www.zillow.com/homedetails/709-N-58th-St-Omaha-NE-68132/75863932_zpid/;Single Family;--;2,573;None;709 N 58th St, Omaha, NE 68132;Other; 470,000;433,321;1926;SOLD;709-North-58th-Street-Omaha;Central;470,000;0%;False;1;T. Simmons, A. Townsend, MRP;04/10/16;Sold;False
4;1 space;https://www.zillow.com/homedetails/709-N-58th-St-Omaha-NE-68132/75863932_zpid/;Single Family;--;2,573;None;709 N 58th St, Omaha, NE 68132;Other; 470,000;433,321;1926;SOLD;709-North-58th-Street-Omaha;Central;470,000;0%;False;2;T. Simmons, A. Townsend, MRP;04/10/16;Sold;False
4;1 space;https://www.zillow.com/homedetails/709-N-58th-St-Omaha-NE-68132/75863932_zpid/;Single Family;--;2,573;None;709 N 58th St, Omaha, NE 68132;Other; 470,000;433,321;1926;SOLD;709-North-58th-Street-Omaha;Central;470,000;-6.0%;False;3;;03/02/16;Sold;False
4;1 space;https://www.zillow.com/homedetails/709-N-58th-St-Omaha-NE-68132/75863932_zpid/;Single Family;--;2,573;None;709 N 58th St, Omaha, NE 68132;Other; 470,000;433,321;1926;SOLD;709-North-58th-Street-Omaha;Central;500,000;+61.3%;False;4;;12/03/15;Listed for sale;False
4;1 space;https://www.zillow.com/homedetails/709-N-58th-St-Omaha-NE-68132/75863932_zpid/;Single Family;--;2,573;None;709 N 58th St, Omaha, NE 68132;Other; 470,000;433,321;1926;SOLD;709-North-58th-Street-Omaha;Central;310,000;-11.4%;False;5;Tom Simmons;05/11/15;Sold;False
