unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
6002-Pershing-Avenue-Saint-Louis;6002 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;None  ;--;--;5,072;Single Family;1912;Other;Central;None;None;https://www.zillow.com/homedetails/6002-Pershing-Ave-Saint-Louis-MO-63112/87746180_zpid/;;;;;;;;
6014-Pershing-Avenue-Saint-Louis;6014 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;369,127;--;4.5;2,464;Multiple Occupancy;1925;Other;Central;None;None;https://www.zillow.com/homedetails/6014-Pershing-Ave-Saint-Louis-MO-63112/3003925_zpid/;;;;;;;;
6018-Pershing-Avenue-Saint-Louis;6018 Pershing Ave, Saint Louis, MO 63112;SOLD; 290,000;326,495;4;4;2,214;Multi Family;1924;Forced air;Central;Off street, On street;None;https://www.zillow.com/homedetails/6018-Pershing-Ave-Saint-Louis-MO-63112/3003924_zpid/;1;05/22/17;Sold;290,000;0%;;False;False
6018-Pershing-Avenue-Saint-Louis;6018 Pershing Ave, Saint Louis, MO 63112;SOLD; 290,000;326,495;4;4;2,214;Multi Family;1924;Forced air;Central;Off street, On street;None;https://www.zillow.com/homedetails/6018-Pershing-Ave-Saint-Louis-MO-63112/3003924_zpid/;2;04/14/17;Listing removed;1,250;0%;;True;False
6018-Pershing-Avenue-Saint-Louis;6018 Pershing Ave, Saint Louis, MO 63112;SOLD; 290,000;326,495;4;4;2,214;Multi Family;1924;Forced air;Central;Off street, On street;None;https://www.zillow.com/homedetails/6018-Pershing-Ave-Saint-Louis-MO-63112/3003924_zpid/;3;04/12/17;Listed for rent;1,250;0%;;True;False
6022-Pershing-Avenue-Saint-Louis;6022 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;297,078;--;2;2,785;Multiple Occupancy;1912;Other;Wall;None;None;https://www.zillow.com/homedetails/6022-Pershing-Ave-Saint-Louis-MO-63112/3003923_zpid/;;;;;;;;
6026-Pershing-Avenue-Saint-Louis;6026 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;299,338;--;2;2,910;Multiple Occupancy;1915;Other;Central;None;None;https://www.zillow.com/homedetails/6026-Pershing-Ave-Saint-Louis-MO-63112/3003922_zpid/;;;;;;;;
6036-Pershing-Avenue-Saint-Louis;6036 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;232,294;--;1;1,820;Single Family;1910;Other;Wall;None;None;https://www.zillow.com/homedetails/6036-Pershing-Ave-Saint-Louis-MO-63112/3003921_zpid/;;;;;;;;
6038-Pershing-Avenue-Saint-Louis;6038 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;378,877;--;4;3,012;Multiple Occupancy;1911;Other;None;None;None;https://www.zillow.com/homedetails/6038-Pershing-Ave-Saint-Louis-MO-63112/3003920_zpid/;1;11/05/12;Sold;--;0%;;False;False
6042-Pershing-Avenue-Saint-Louis;6042 Pershing Ave, Saint Louis, MO 63112;SOLD; 300,000;380,280;--;4;2,972;Multiple Occupancy;1914;Other;Central;None;None;https://www.zillow.com/homedetails/6042-Pershing-Ave-Saint-Louis-MO-63112/3003919_zpid/;1;04/01/16;Sold;300,000;0%;;False;False
6044-Pershing-Avenue-Saint-Louis;6044 Pershing Ave, Saint Louis, MO 63112;FOR RENT;0;None;3;1;2,944;Apartment;None;None;None;On street;None;https://www.zillow.com/homedetails/6044-Pershing-Ave-Saint-Louis-MO-63112/3003918_zpid/;1;10/24/17;Listed for rent;1,995;0%;;True;False
6044-Pershing-Avenue-Saint-Louis;6044 Pershing Ave, Saint Louis, MO 63112;FOR RENT;0;None;3;1;2,944;Apartment;None;None;None;On street;None;https://www.zillow.com/homedetails/6044-Pershing-Ave-Saint-Louis-MO-63112/3003918_zpid/;2;10/17/17;Sold;190,000;0%;;False;False
