unique_id;full_address;sale_status;amount;zestimate;beds;baths;footage;type;year_built;heating;cooling;parking;mls;url;id;event_date;event;price;price_change;agents;rental;listing_removed
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;1;11/18/14;Sold;197,500;+102%;The WOW Team;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;2;03/14/14;Sold;98,000;+40%;R. Jones, T. Team;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;3;12/31/13;Listing removed;70,000;0%;;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;4;07/18/13;Price change;70,000;-58.8%;;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;5;02/16/13;Price change;170,000;-5.6%;;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;6;01/25/13;Price change;180,000;-5.3%;;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;7;08/18/12;Listing removed;190,000;0%;;False;False
5806-Waterman-Boulevard-Saint-Louis;5806 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;225,230;3;1.5;1,652;Single Family;1919;Radiant;Central;On street;None;https://www.zillow.com/homedetails/5806-Waterman-Blvd-Saint-Louis-MO-63112/3005910_zpid/;8;06/21/12;Listed for sale;190,000;0%;;False;False
5810-Waterman-Boulevard-Saint-Louis;5810 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;227,558;--;1;2,086;Single Family;1917;Other;Wall;None;None;https://www.zillow.com/homedetails/5810-Waterman-Blvd-Saint-Louis-MO-63112/3005909_zpid/;;;;;;;;
5812-Waterman-Boulevard-Saint-Louis;5812 Waterman Blvd, Saint Louis, MO 63112;OFF MARKET;0;230,128;--;1;2,177;Single Family;1914;Other;Central;None;None;https://www.zillow.com/homedetails/5812-Waterman-Blvd-Saint-Louis-MO-63112/3005908_zpid/;;;;;;;;
5823-Pershing-Avenue-Saint-Louis;5823 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;203,546;--;1;1,784;Single Family;1916;None;Wall;None;None;https://www.zillow.com/homedetails/5823-Pershing-Ave-Saint-Louis-MO-63112/3005919_zpid/;;;;;;;;
5825-Pershing-Avenue-Saint-Louis;5825 Pershing Ave, Saint Louis, MO 63112;OFF MARKET;0;191,751;--;1;1,584;Single Family;1920;None;Wall;None;None;https://www.zillow.com/homedetails/5825-Pershing-Ave-Saint-Louis-MO-63112/3005920_zpid/;;;;;;;;
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,747;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;1;10/06/16;Sold;235,000;0%;;False;False
5829-Pershing-Avenue-Saint-Louis;5829 Pershing Ave, Saint Louis, MO 63112;SOLD; 235,000;200,747;3;1;1,584;Single Family;1920;Forced air;Central;2 spaces;None;https://www.zillow.com/homedetails/5829-Pershing-Ave-Saint-Louis-MO-63112/3005921_zpid/;2;08/23/16;Pending sale;235,000;0%;;False;False
